Pixel	ADU
0	867
1	853
2	862
3	856
4	866
5	866
6	867
7	859
8	829
9	870
10	873
11	874
12	875
13	869
14	861
15	826
16	809
17	845
18	864
19	867
20	865
21	869
22	872
23	873
24	867
25	872
26	870
27	865
28	849
29	865
30	863
31	866
32	861
33	858
34	856
35	855
36	858
37	858
38	856
39	841
40	845
41	843
42	838
43	841
44	826
45	829
46	830
47	817
48	804
49	807
50	804
51	792
52	776
53	756
54	737
55	712
56	677
57	632
58	580
59	520
60	449
61	371
62	286
63	209
64	262
65	347
66	426
67	500
68	559
69	611
70	658
71	691
72	721
73	740
74	753
75	771
76	772
77	787
78	795
79	777
80	765
81	767
82	782
83	809
84	812
85	815
86	813
87	815
88	815
89	803
90	802
91	814
92	823
93	820
94	820
95	819
96	816
97	820
98	823
99	820
100	818
101	814
102	806
103	815
104	811
105	813
106	812
107	797
108	785
109	807
110	805
111	782
112	797
113	805
114	807
115	799
116	800
117	799
118	802
119	802
120	798
121	779
122	797
123	796
124	789
125	790
126	788
127	796
128	795
129	797
130	794
131	794
132	795
133	793
134	787
135	788
136	788
137	787
138	788
139	784
140	779
141	778
142	778
143	784
144	785
145	750
146	768
147	773
148	778
149	760
150	768
151	759
152	771
153	772
154	764
155	772
156	760
157	766
158	765
159	764
160	767
161	759
162	755
163	752
164	762
165	763
166	757
167	749
168	753
169	746
170	746
171	748
172	748
173	750
174	750
175	751
176	744
177	741
178	744
179	741
180	740
181	730
182	741
183	731
184	732
185	723
186	731
187	711
188	720
189	706
190	723
191	719
192	701
193	715
194	712
195	698
196	685
197	691
198	689
199	679
200	668
201	661
202	646
203	615
204	603
205	581
206	545
207	506
208	460
209	403
210	343
211	274
212	200
213	228
214	300
215	364
216	422
217	471
218	515
219	534
220	569
221	598
222	621
223	631
224	646
225	654
226	661
227	671
228	676
229	671
230	670
231	682
232	685
233	684
234	683
235	687
236	690
237	692
238	691
239	671
240	650
241	672
242	671
243	672
244	668
245	686
246	672
247	676
248	687
249	681
250	682
251	684
252	678
253	678
254	682
255	682
256	680
257	682
258	681
259	673
260	659
261	670
262	679
263	678
264	679
265	677
266	674
267	670
268	674
269	673
270	669
271	661
272	667
273	666
274	671
275	670
276	666
277	653
278	665
279	663
280	664
281	657
282	660
283	664
284	658
285	662
286	661
287	660
288	657
289	658
290	657
291	653
292	642
293	637
294	612
295	632
296	649
297	649
298	652
299	645
300	541
301	607
302	649
303	652
304	648
305	635
306	641
307	640
308	647
309	649
310	649
311	647
312	643
313	633
314	646
315	645
316	645
317	628
318	641
319	641
320	644
321	635
322	628
323	642
324	633
325	625
326	618
327	633
328	636
329	636
330	633
331	635
332	633
333	614
334	626
335	633
336	633
337	630
338	620
339	631
340	630
341	630
342	621
343	581
344	623
345	627
346	617
347	606
348	616
349	611
350	625
351	622
352	614
353	621
354	621
355	623
356	619
357	604
358	619
359	617
360	610
361	618
362	613
363	612
364	591
365	604
366	615
367	600
368	608
369	608
370	610
371	613
372	608
373	610
374	611
375	608
376	606
377	608
378	608
379	609
380	608
381	605
382	607
383	605
384	603
385	598
386	593
387	591
388	597
389	602
390	598
391	599
392	595
393	583
394	598
395	595
396	584
397	589
398	594
399	595
400	594
401	595
402	594
403	594
404	593
405	593
406	594
407	593
408	594
