Reduction,reduction,,Pixel,ADU,Pixel,ADU
"4000,8","4,23777499",,0,"867,048762954",0,867
,,,,,1,853
,,,,,2,862
,,,,,3,856
"4002,4","4,1694282575",,0,"853,0650214845",4,866
,,,,,5,866
,,,,,6,867
,,,,,7,859
4004,"4,2150425325",,0,"862,3977021495",8,829
,,,,,9,870
,,,,,10,873
,,,,,11,874
"4005,6","4,18482325",,0,"856,21483695",12,875
,,,,,13,869
,,,,,14,861
,,,,,15,826
"4007,2","4,230838275",,0,"865,629511065",16,809
,,,,,17,845
,,,,,18,864
,,,,,19,867
"4008,8","4,2348771825",,0,"866,4558715395",20,865
,,,,,21,869
,,,,,22,872
,,,,,23,873
"4010,4","4,2376487375",,0,"867,0229316925",24,867
,,,,,25,872
,,,,,26,870
,,,,,27,865
4012,"4,1968623625",,0,"858,6780393675",28,849
,,,,,29,865
,,,,,30,863
,,,,,31,866
"4013,6","4,05297403",,0,"829,238486538",32,861
,,,,,33,858
,,,,,34,856
,,,,,35,855
"4015,2","4,2526753725",,0,"870,0973812135",36,858
,,,,,37,858
,,,,,38,856
,,,,,39,841
"4016,8","4,26596912",,0,"872,817281952",40,845
,,,,,41,843
,,,,,42,838
,,,,,43,841
"4018,4","4,2693769725",,0,"873,5145285735",44,826
,,,,,45,829
,,,,,46,830
,,,,,47,817
4020,"4,274504195",,0,"874,563558297",48,804
,,,,,49,807
,,,,,50,804
,,,,,51,792
"4021,6","4,2475099",,0,"869,04052554",52,776
,,,,,53,756
,,,,,54,737
,,,,,55,712
"4023,2","4,2072492125",,0,"860,8031888775",56,677
,,,,,57,632
,,,,,58,580
,,,,,59,520
"4024,8","4,03735197",,0,"826,042213062",60,449
,,,,,61,371
,,,,,62,286
,,,,,63,209
"4026,4","3,95243746",,0,"808,668704316",64,262
,,,,,65,347
,,,,,66,426
,,,,,67,500
4028,"4,1284562875",,0,"844,6821564225",68,559
,,,,,69,611
,,,,,70,658
,,,,,71,691
"4029,6","4,222170185",,0,"863,856019851",72,721
,,,,,73,740
,,,,,74,753
,,,,,75,771
"4031,2","4,2399698925",,0,"867,4978400055",76,772
,,,,,77,787
,,,,,78,795
,,,,,79,777
"4032,8","4,227003835",,0,"864,844984641",80,765
,,,,,81,767
,,,,,82,782
,,,,,83,809
"4034,4","4,247420185",,0,"869,022169851",84,812
,,,,,85,815
,,,,,86,813
,,,,,87,815
4036,"4,262227925",,0,"872,051833455",88,815
,,,,,89,803
,,,,,90,802
,,,,,91,814
"4037,6","4,2677111925",,0,"873,1737099855",92,823
,,,,,93,820
,,,,,94,820
,,,,,95,819
"4039,2","4,2394733675",,0,"867,3962509905",96,816
,,,,,97,820
,,,,,98,823
,,,,,99,820
"4040,8","4,2622451825",,0,"872,0553643395",100,818
,,,,,101,814
,,,,,102,806
,,,,,103,815
"4042,4","4,2539947975",,0,"870,3673355685",104,811
,,,,,105,813
,,,,,106,812
,,,,,107,797
4044,"4,2296828475",,0,"865,3931105985",108,785
,,,,,109,807
,,,,,110,805
,,,,,111,782
"4045,6","4,1491201925",,0,"848,9099913855",112,797
,,,,,113,805
,,,,,114,807
,,,,,115,799
"4047,2","4,2253234225",,0,"864,5011722435",116,800
,,,,,117,799
,,,,,118,802
,,,,,119,802
"4048,8","4,21708646",,0,"862,815889716",120,798
,,,,,121,779
,,,,,122,797
,,,,,123,796
"4050,4","4,23069053",,0,"865,599282438",124,789
,,,,,125,790
,,,,,126,788
,,,,,127,796
4052,"4,2069195075",,0,"860,7357312345",128,795
,,,,,129,797
,,,,,130,794
,,,,,131,794
"4053,6","4,191739375",,0,"857,629876125",132,795
